Beer,Origin,Style,ABV,Ratings
21st Amendment Hop Crisis,CA,Imperial IPA,11.8%,3.767
Triumph Roggenbock,NJ,Bock,7%,3.767
Oskar Blues Gubna,CO,Imperial IPA,10%,3.765
Anchor Our Special Ale 2008,CA,Spiced Beer,5.5%,3.765
Founders Centennial IPA,MI,IPA,7.2%,3.764
Dark Horse Special Reserve Black Bier,MI,Stout,7.5%,3.764
Buckeye Seventy-Six,OH,Imperial IPA,7.9%,3.764
New Belgium Lips of Faith Super India Pale Ale,CO,Imperial IPA,9%,3.764
Southampton Cuvee des Fleurs,NY,Saison,7.7%,3.763
Ken Schmidt / Iron Fist / Stone Mint Chocolate Imperial Stout,CA,Imperial Stout,9.6%,3.763
Bells Batch 8000,MI,Witbier,9%,3.762
He'Brew Jewbelation Eleven,CA,Strong Ale,11%,3.762
Arcadia Imperial Stout,MI,Imperial Stout,8.4%,3.762
Ale Asylum Hopalicious,WI,American Pale Ale,5.8%,3.762
Stone Lukcy Basartd Ale,CA,Strong Ale,8.5%,3.762
Southampton Grand Cru Strong Ale,NY,Belgian Strong Ale,9.5%,3.761
Odell India Pale Ale,CO,IPA,7%,3.759
Rogue Morimoto Imperial Pilsner,OR,Imperial Pilsener,8.8%,3.758
Deschutes Jubelale,OR,English Strong Ale,6.7%,3.758
Tyranena Dirty Old Man,WI,Imperial Porter,7.9%,3.757
Sierra Nevada 30th Anniversary Jack & Ken's Ale,CA,American Barleywine,10.2%,3.757
Smuttynose Farmhouse Ale,NH,Saison,7.4%,3.757
Hoppin' Frog Hop Masters Abbey Belgian-Style Double IPA,OH,Imperial IPA,8.5%,3.757
The Bruery Melange #3,CA,Strong Ale,15.5%,3.757
Lost Coast Indica India Pale Ale,CA,IPA,6.5%,3.756
Avery Ale to the Chief,CO,American Pale Ale,8.75%,3.756
Anchor Our Special Ale 2007,CA,Spiced Beer,5.5%,3.756
Stone 16th Anniversary IPA,CA,Imperial IPA,10%,3.756
Marshall Big Jamoke Porter,OK,Porter,6.8%,3.756
Bells Bourbon Barrel Aged Cherry Stout,MI,Fruit Stout,-,3.756
Russian River Redemption,CA,Belgian Ale,4.6%,3.755
Siletz Wooly Bully,OR,Kellerbier,-,3.755
Green Flash West Coast IPA,CA,IPA,7.3%,3.754
Allagash Confluence Ale,ME,Belgian Strong Ale,7.4%,3.754
Alpine Beer Company Nelson IPA,CA,IPA,7.1%,3.754
Samuel Adams Imperial Pilsner,MA,Imperial Pilsener,8.8%,3.753
Anchor Our Special Ale 2005,CA,Spiced Beer,5.5%,3.753
Ommegang BPA Belgian-style Pale Ale,NY,Belgian Ale,6.2%,3.753
Dogwood Excellent Adventure,GA,American Barleywine,10%,3.753
21st Amendment 21A-IPA (US-IPA),CA,IPA,6.7%,3.753
New Glarus Unplugged Cherry Stout,WI,Fruit Stout,6.5%,3.750
Port Brewing High Tide Fresh Hop IPA,CA,IPA,6.5%,3.750
Uinta Dubhe Imperial Black IPA,UT,American Black Ale,9.2%,3.750
Samuel Adams New World Tripel (Barrel Room Collection),MA,Abbey Tripel,10%,3.750
Widmer Brothers Reserve Barrel Aged Brrrbon,OR,Strong Ale,9.4%,3.750
Live Oak Hefe Weizen,TX,Hefeweizen,-,3.750
Avery Eleven,CO,Imperial IPA,9%,3.750
Southern Tier Warlock,NY,Imperial Stout,8.6%,3.750
Hangtown Vanilla Stout,CA,Stout,7.2%,3.750
Epic Imperial Stout,UT,Imperial Stout,9.1%,3.750
Livery Wheat Trippelbock,MI,Weizenbock,13%,3.750
Russian River Deviation (Bottleworks IX),CA,Belgian Ale,6.83%,3.750
Red Brick 20th Anniversary,GA,Imperial Stout,10%,3.750
Samuel Adams Chocolate Bock,MA,Bock,5.6%,3.749
Moylan's Hopsickle Imperial Ale - Triple Hoppy,CA,Imperial IPA,9.2%,3.749
Sierra Nevada Southern Hemisphere Harvest Ale,CA,IPA,6.5%,3.749
Stone 13th Anniversary Ale,CA,Strong Ale,9.5%,3.748
Stone 03.03.03 Vertical Epic Ale,CA,Belgian Strong Ale,9%,3.748
Victory Hop Devil,PA,IPA,6.7%,3.747
Allagash Four,ME,Abbey Quadrupel,10%,3.746
Moylan's Ryan Sullivan's Imperial Stout,CA,Imperial Stout,10%,3.746
Captain Lawrence Nor Easter Winter Warmer,NY,Strong Ale,12%,3.746
Weyerbacher Imperial Pumpkin Ale,PA,Spiced Beer,8%,3.745
Lagunitas Maximus,CA,Imperial IPA,8.2%,3.744
Firestone Walker Union Jack IPA,CA,IPA,7.5%,3.744
Fish Tale Anniversary Ale - 10 Squared,WA,Imperial IPA,10%,3.744
Sierra Nevada Juniper Black Ale,CA,American Black Ale,8.5%,3.744
Vanberg et Famille LambickX,NY,Gueuze,6.75%,3.744
Cascade Vlad the Imp Aler,OR,Belgian Strong Ale,10.3%,3.744
Valley Brew Uberhoppy IPA,CA,Imperial IPA,8%,3.744
The Bruery Sour in the Rye,CA,Wild Ale,8.7%,3.744
Stone Pale Ale,CA,American Pale Ale,5.4%,3.743
New Belgium Erics Ale,CO,Fruit Beer,7%,3.743
Schlafly Bieré de Garde,MO,Biere de Garde,7%,3.743
Sierra Nevada Torpedo Extra IPA,CA,IPA,7.2%,3.742
Dogfish Head Golden Era (Shower),DE,Imperial Pilsener,9%,3.742
Heavyweight Barrel Aged Old Salty,NJ,English Barleywine,11%,3.742
Oskar Blues Dales Pale Ale,CO,American Pale Ale,6.5%,3.741
Weyerbacher Blithering Idiot,PA,English Barleywine,11.1%,3.741
Avery Old Jubilation Ale,CO,English Strong Ale,8%,3.740
Deschutes Bond Street Hop Trip,OR,American Pale Ale,5.5%,3.740
Lost Abbey Judgment Day,CA,Abbey Quadrupel,10.5%,3.740
Clown Shoes Chocolate Sombrero,MA,Imperial Stout,9%,3.740
Ommegang Brasserie D'Achouffe Gnomegang,NY,Belgian Ale,9.5%,3.740
Rogue Imperial Porter,OR,Imperial Porter,7.77%,3.740
New Glarus Unplugged Imperial Weizen,WI,Wheatwine,9.6%,3.740
Heavy Seas Big DIPA,MD,Imperial IPA,10.6%,3.740
Great Lakes Doppelrock,OH,Doppelbock,7.8%,3.740
Green Flash Green Bullet,CA,Imperial IPA,10.1%,3.740
Founders Dirty Bastard Scotch Ale,MI,Scottish Ale,8.5%,3.739
Victory Baltic Thunder,PA,Baltic Porter,8.5%,3.739
Pizza Port Mother of All Beers,CA,Abbey Quadrupel,10.5%,3.738
Sweetwater Donkey Punch,GA,American Barleywine,10%,3.738
Lost Coast 8 Ball Stout,CA,Stout,5.5%,3.737
Full Sail Top Sail Imperial Porter Bourbon Barrel Aged,OR,Imperial Porter,9.85%,3.737
Russian River Damnation,CA,Belgian Strong Ale,7%,3.736
Port Brewing Shark Attack Double Red Ale,CA,Strong Ale,9.5%,3.736
Cascade Kriek Ale,OR,Flanders Red,7.3%,3.736
Breckenridge Small Batch 471 IPA,CO,Imperial IPA,9.2%,3.735
Sweetwater Happy Ending Imperial Stout,GA,Imperial Stout,9%,3.735
Mad River Steelhead Extra Stout,CA,Stout,6.6%,3.733
Terrapin Moo-Hoo Chocolate Milk Stout,GA,Chocolate Stout,6%,3.733
Rogue Double Mocha Porter,OR,Imperial Porter,8.2%,3.733
The Duck-Rabbit Wee Heavy Scotch Style Ale,NC,Scottish Ale,8%,3.733
McNeills Imperial Stout,VT,Imperial Stout,-,3.733
Firestone Walker 11,CA,Strong Ale,11%,3.733
Alpine Beer Company Good,CA,American Barleywine,17%,3.733
SKA Modus Hoperandi IPA,CO,IPA,6.8%,3.732
Fish Tale Old Woody Strong Old Ale,WA,Old Ale,9.5%,3.731
Central Waters Brewer's Reserve Bourbon Barrel Cherry Stout,WI,Fruit Stout,-,3.731
Rogue I2PA (Imperial India Pale Ale),OR,Imperial IPA,10.3%,3.730
Goose Island Matilda,IL,Belgian Ale,6.7%,3.730
Titletown Hopasaurus Rex,WI,IPA,6.42%,3.730
Flying Fish Imperial Espresso Porter,NJ,Imperial Porter,8%,3.730
Jolly Pumpkin La Roja,MI,Biere de Garde,7.2%,3.729
Allagash Odyssey,ME,Belgian Strong Ale,10%,3.729
Lost Abbey Ten Commandments,CA,Belgian Strong Ale,9%,3.729
The Bruery Provisions Series: Mother Funker,CA,Wild Ale,6%,3.729
French Broad Anvil Porter,NC,Porter,6%,3.729
Great Divide Oatmeal Yeti Imperial Stout,CO,Imperial Stout,9.5%,3.729
Founders Frangelic Mountain Brown,MI,Brown Ale,9.6%,3.729
Stone 9th Anniversary Ale,CA,Wheatwine,7.8%,3.728
New Holland Dragons Milk,MI,English Strong Ale,10.5%,3.727
Sierra Nevada Northern Hemisphere Harvest Ale,CA,IPA,6.7%,3.727
Lagunitas Undercover Investigation Shut-Down Ale,CA,Strong Ale,9.9%,3.726
Odell Cutthroat Porter,CO,Porter,4.5%,3.726
Ommegang Ommegeddon,NY,Saison,8%,3.726
Anderson Valley Hop Ottin' IPA,CA,IPA,7%,3.725
Avery The Czar Imperial Stout,CO,Imperial Stout,11%,3.725
Left Hand Smoke Jumper Smoked Imperial Porter,CO,Smoked Ale,10.5%,3.725
Stone 15th Anniversary Escondidian Imperial Black IPA,CA,American Black Ale,10.8%,3.725
Samuel Adams Long Shot Double IPA,MA,Imperial IPA,9%,3.725
Free State Kings Cross ESB,KS,Extra Special Bitter,-,3.725
Drake's IPA,CA,IPA,7%,3.724
Rogue Brutal Bitter,OR,Extra Special Bitter,6.5%,3.723
Southern Star Buried Hatchet Stout,TX,Foreign / Extra Stout,8.25%,3.723
Rogue Mocha Porter,OR,Porter,5.1%,3.722
Russian River Damnation Batch 23 (Oak Aged),CA,Abbey Tripel,10.5%,3.722
Firestone Walker 12,CA,Strong Ale,12%,3.722
Stone Ruination Tenth Anniversary IPA,CA,Imperial IPA,10.8%,3.722
Lagunitas Wilco Tango Foxtrot Ale,CA,Brown Ale,7.3%,3.721
Stone 8th Anniversary Ale,CA,Strong Ale,7.8%,3.721
Dark Horse Crooked Tree IPA,MI,IPA,6%,3.720
Santa Fe Imperial Java Stout,NM,Imperial Stout,8%,3.720
DuClaw Black Jack Stout,MD,Imperial Stout,8.5%,3.720
Hair of the Dog Dave,OR,American Barleywine,29%,3.720
Ommegang Chocolate Indulgence,NY,Chocolate Stout,7%,3.719
Sprecher Black Bavarian,WI,Schwarzbier,5.86%,3.719
Pelican Tsunami Stout,OR,Foreign / Extra Stout,7%,3.719
AleSmith Decadence 2005,CA,Old Ale,11%,3.719
Stone Cali-Belgique IPA,CA,IPA,6.9%,3.718
Old Dominion Oak Barrel Aged Millennium,DE,English Barleywine,11.4%,3.718
Dogfish Head 120 Minute IPA,DE,Strong Ale,18%,3.717
Bear Republic Apex (Racer One Five),CA,Imperial IPA,8.1%,3.717
Schlafly Special Release Bourbon Barrel Ale,MO,Strong Ale,-,3.717
Foothills Barrel Aged Sexual Chocolate Imperial Stout,NC,Imperial Stout,10%,3.717
Founders Devil Dancer Triple IPA3,MI,Imperial IPA,12%,3.716
Butte Creek Organic Revolution X Imperial IPA,CA,Imperial IPA,9.1%,3.716
Deschutes Cinder Cone Red Ale,OR,Amber Ale,5.8%,3.716
Boulder Hazed and Infused,CO,American Pale Ale,4.85%,3.715
Thirsty Dog Old Leghumper,OH,Porter,5.7%,3.715
Smuttynose Big A IPA,NH,Imperial IPA,9%,3.715
Lagunitas Little Sumpin' Wild Ale,CA,Belgian Strong Ale,8.85%,3.715
Chatoe Rogue Dirtoir Black Lager,OR,Schwarzbier,5%,3.715
New Glarus Unplugged Imperial IPA,WI,Imperial IPA,-,3.714
Jolly Pumpkin Biere de Mars,MI,Biere de Garde,7%,3.714
Terrapin Hopzilla,GA,Imperial IPA,10.8%,3.714
McSorelys Black and Tan,WI,Stout,-,3.714
Ithaca Excelsior! Brute,NY,Gueuze,7%,3.714
Goose Island Bourbon County Barleywine,IL,American Barleywine,12.1%,3.714
The Commons Maybelle,OR,Wild Ale,-,3.714
Almanac Heirloom Pumpkin Barleywine,CA,Spiced Beer,12%,3.714
FiftyFifty 2011 Imperial Eclipse Stout - Brewmaster's Grand Cru,CA,Imperial Stout,10%,3.714
Grand Teton Double Vision Dopplebock,ID,Doppelbock,8%,3.713
New Belgium Lips of Faith Imperial Coffee Chocolate Stout,CO,Imperial Stout,9%,3.713
Bells Rye Stout,MI,Stout,6.7%,3.712
Jolly Pumpkin Luciernaga Grande Reserve,MI,Belgian Ale,7%,3.712
Pizza Port Lou P. Lin,CA,Imperial IPA,8.5%,3.712
SurlyFest,MN,Marzen / Oktoberfest,6%,3.711
Funkwerks Saison,CO,Saison,6.8%,3.711
Dogwood Winter Ale 2003 (Whiskey-barrel aged),GA,Abbey Dubbel,-,3.711
Saint Arnold Endeavour IPA2,TX,Imperial IPA,9%,3.711
Lakefront Bridge Burner Special Reserve Ale,WI,Strong Ale,8%,3.710
Barley John's Dark Knight Imperial Porter,MN,Imperial Porter,18%,3.710
Tyranena Devil Over A Barrel,WI,Imperial Porter,8%,3.709
Ballast Point Three Sheets Barley Wine,CA,American Barleywine,10%,3.709
Jolly Pumpkin Luciernaga,MI,Belgian Ale,6.5%,3.708
Southern Tier Oak Aged Un*Earthly,NY,Imperial IPA,11%,3.708
Ninkasi Oatis Oatmeal Stout,OR,Oatmeal Stout,7.2%,3.708
New Glarus Thumbprint Series Barley Wine,WI,American Barleywine,-,3.708
Stone Old Guardian Belgo Barley Wine,CA,American Barleywine,12%,3.708
Snoqualmie Falls Wildcat IPA,WA,IPA,6.6%,3.708
Cigar City Guava Grove Ale,FL,Belgian Ale,8%,3.707
Jason Fields & Kevin Sheppard / Tröegs / Stone Cherry Chocolate Stout,CA,Chocolate Stout,7.3%,3.707
Ommegang Adoration Special Winter Ale,NY,Spiced Beer,10%,3.707
The Bruery Mischief,CA,Belgian Strong Ale,8.5%,3.707
Sierra Nevada Weizenbock,CA,Weizenbock,6.6%,3.706
Flying Dog Raging Bitch Belgian IPA,MD,Imperial IPA,8.3%,3.705
Smuttynose Barleywine Style Ale,NH,American Barleywine,10%,3.704
Great Lakes Burning River Pale Ale,OH,American Pale Ale,6%,3.703
Avery Hog Heaven,CO,American Barleywine,9.2%,3.703
Lancaster Milk Stout,PA,Milk Stout,5.5%,3.703
New Belgium 1554 Brussels Black Ale,CO,Belgian Ale,5.5%,3.700
Bridgeport IPA,OR,IPA,5.5%,3.700
Lagunitas Imperial Red,CA,Strong Ale,7.6%,3.700
New Belgium Hoptober Golden Ale,CO,Blonde Ale,6%,3.700
Left Hand Twin Sisters Double IPA,CO,Imperial IPA,9.6%,3.700
Dark Horse Scotty Karate Scotch Ale,MI,Scottish Ale,9.75%,3.700
Dark Horse Double Crooked Tree IPA,MI,Imperial IPA,13.6%,3.700
Dark Horse Fore Smoked Stout,MI,Smoked Ale,8%,3.700
Midnight Sun Epluche-Culotte (Panty Peeler Tripel),AK,Abbey Tripel,8.5%,3.700
Tyranena Down 'N Dirty Chocolate Oatmeal Stout,WI,Oatmeal Stout,6.3%,3.700
Heavyweight Saison de la Soeur Black,NJ,Saison,6.2%,3.700
Hoppin' Frog Hop Dam Triple I.P.A.,OH,Imperial IPA,10%,3.700
Sweetwater Motor Boat,GA,Extra Special Bitter,6.5%,3.700
Harpoon Leviathan Imperial IPA,MA,Imperial IPA,10%,3.700
Bells Batch 9000,MI,Imperial Stout,12.5%,3.700
Great Divide 17th Anniversary Wood Aged Double IPA,CO,Imperial IPA,10%,3.700
Victory Red Thunder,PA,Baltic Porter,8.5%,3.700
Stochasticity Project Grapefruit Slam IPA,CA,Imperial IPA,8.2%,3.700
Anchorage Galaxy White IPA,AK,IPA,7%,3.700
Goose Island Big John,IL,Imperial Stout,11.5%,3.700
Triumph Imperial Stout,NJ,Imperial Stout,11%,3.700
Olde Burnside Ten Penny Ale,CT,Scottish Ale,-,3.700
Great Divide Barrel Aged Old Ruffian Barley Wine,CO,American Barleywine,12.7%,3.700
FiftyFifty 2010 Imperial Eclipse Stout - Four Roses,CA,Imperial Stout,9.5%,3.700
Pizza Port Le Woody Brune,CA,Flanders Oude Bruin,-,3.700
Captain Lawrence Smoke from the Oak (Wine Barrel),NY,Porter,6.4%,3.700
Pizza Port Night Rider,CA,Imperial Stout,9.5%,3.700
Pizza Port Old Boneyards Barleywine,CA,American Barleywine,-,3.700
Sweetwater Dank Tank Mean Joe Bean,GA,Imperial Porter,8.5%,3.700
Good People El Gordo Russian Imperial Stout,AL,Imperial Stout,13.9%,3.700
Moylan's Moylander Double IPA,CA,Imperial IPA,8.5%,3.697
Southern Tier Back Burner,NY,English Barleywine,10%,3.697
Southern Tier Imperial Gemini,NY,Imperial IPA,10.5%,3.696
Green Flash Barleywine Style Ale,CA,American Barleywine,10.9%,3.696
Allagash Grand Cru,ME,Belgian Ale,7.2%,3.695
The Bruery Saison de Lente,CA,Saison,6.5%,3.695
New Glarus Unplugged Smoke on the Porter,WI,Smoked Ale,6.1%,3.695
Southampton 10th Anniversary Old Ale,NY,Old Ale,8.7%,3.695
Avery DuganA,CO,Imperial IPA,8.5%,3.695
Ninkasi Tricerahops Double IPA,OR,Imperial IPA,9%,3.695
Southampton Saison Deluxe,NY,Saison,7.4%,3.694
Bells Best Brown Ale,MI,Brown Ale,6.6%,3.693
Green Flash Le Freak Belgian Style IPA,CA,Belgian Strong Ale,9.2%,3.693
Jolly Pumpkin Maracaibo Especial,MI,Brown Ale,7.5%,3.692
The Bruery 2 Turtle Doves,CA,Belgian Strong Ale,12%,3.692
"Bells Batch 10,000 Ale",MI,Strong Ale,9.2%,3.692
New Glarus Thumbprint Series Chocolate Abbey,WI,Abbey Dubbel,-,3.692
Sly Fox Saison Vos,PA,Saison,6.9%,3.692
Pizza Port Le Woody,CA,Wild Ale,5.5%,3.691
Tyranena Benjis Chipotle Smoked Imperial Porter,WI,Imperial Porter,-,3.691
Drake's Denogginizer Double India Pale Ale,CA,Imperial IPA,10%,3.691
Heavyweight Saison de la Soeur Golden,NJ,Saison,5.8%,3.690
Hoppin' Frog Bodacious Black & Tan,OH,Strong Ale,7.6%,3.690
Drake's Expedition Ale,CA,Amber Ale,6.5%,3.690
Sierra Nevada/Dogfish Head Life & Limb,CA,Strong Ale,10.2%,3.689
Anchor Our Special Ale 2009,CA,Spiced Beer,5.5%,3.689
Newport Storm 06,RI,Strong Ale,12.2%,3.689
Free State John Brown Ale,KS,Brown Ale,-,3.689
Iron Hill Old Tom Barleywine,DE,American Barleywine,10%,3.689
Hales Wee Heavy Winter Ale,WA,Scottish Ale,-,3.689
Boulder Mojo India Pale Ale,CO,IPA,7%,3.688
Saint Arnold Elissa IPA,TX,IPA,6.6%,3.688
Sly Fox OReillys Stout,PA,Dry Stout,3.6%,3.688
Founders Curmudgeon Old Ale,MI,Old Ale,9.3%,3.687
Troutbrook Thomas Hooker Old Marley Barleywine,CT,American Barleywine,9.6%,3.687
Sixpoint Resin,NY,Imperial IPA,9.1%,3.687
Port Brewing Midnight Expressions Lager,CA,Schwarzbier,5.5%,3.687
Marin Mt. Tam Pale Ale,CA,American Pale Ale,5%,3.687
Kona Da Grind Buzz Kona Coffee Imperial Stout,HI,Imperial Stout,10.5%,3.687
Heavy Seas Loose Cannon,MD,IPA,7.5%,3.686
North Coast Le Merle,CA,Saison,7.9%,3.686
Great Lakes Lake Erie Monster,OH,Imperial IPA,9%,3.686
Avery Fourteen,CO,Strong Ale,9.46%,3.686
Lost Abbey Saints Devotion,CA,Wild Ale,6.25%,3.686
Pizza Port DoHeny Double IPA,CA,Imperial IPA,8%,3.686
Tyranena Whos Your Daddy? Bourbon Barrel-Aged Imperial Porter,WI,Imperial Porter,8%,3.686
LaConner India Pale Ale (Bottleworks),WA,IPA,7%,3.685
Portland Benchmark Old Ale,OR,Old Ale,9.9%,3.685
Heavy Seas Winter Storm Category 5 Ale,MD,Strong Ale,7.5%,3.684
Maui Coconut Porter,HI,Porter,5.5%,3.684
Jolly Pumpkin Noel de Calabaza,MI,Belgian Strong Ale,9%,3.684
"Left Hand Fade To Black, Volume 1",CO,Foreign / Extra Stout,8.5%,3.683
Ass Kisser Porter Pounder,CA,Smoked Ale,8.03%,3.683
Nebraska Chardonnay French Oak Hop God,NE,Belgian Strong Ale,10.1%,3.683
Cigar City Brandy Barrel Aged Hunahpus Imperial Stout,FL,Imperial Stout,11%,3.683
Cascade Noyaux,OR,Wild Ale,8.94%,3.683
Central Waters Brewhouse Coffee Stout,WI,Coffee Stout,-,3.682
Left Hand Smoked Goosinator Doppelbock,CO,Rauchbier,7.7%,3.682
New Glarus Crack'd Wheat,WI,Hefeweizen,-,3.681
AleSmith Nut Brown Ale,CA,Brown Ale,5%,3.681
Knee Deep Hoptologist,CA,Imperial IPA,9%,3.680
Good People Snake Handler Double IPA,AL,Imperial IPA,9.3%,3.680
Highland Tasgall Ale,NC,Scottish Ale,8%,3.680
Valley Brew Decadence Grand Cru,CA,Belgian Strong Ale,12%,3.680
Bear Republic Pete Brown Tribute Ale,CA,Brown Ale,6.3%,3.679
Arcadia Hop Rocket Ale,MI,Imperial IPA,9%,3.679
Rogue Old Crustacean,OR,American Barleywine,11.3%,3.678
Troutbrook Thomas Hooker Imperial Porter,CT,Imperial Porter,8%,3.678
Drake's Imperial Stout,CA,Imperial Stout,8.75%,3.678
Terrapin Side Project Volume 9: The Dark Side,GA,Imperial Stout,8.5%,3.678
Great Divide 18th Anniversary Wood Aged Double IPA,CO,Imperial IPA,10%,3.678
Nimbus Palo Verde Pale Ale,AZ,American Pale Ale,5.5%,3.678
Brooklyn Monster Ale,NY,English Barleywine,11%,3.677
Sweetwater IPA,GA,IPA,6.5%,3.677
HopTown IPA,CA,IPA,6.2%,3.677
Pizza Port Shark Attack Triple Red Ale,CA,Strong Ale,9.2%,3.677
Oskar Blues Old Chub,CO,Scottish Ale,8%,3.676
Lost Abbey The Angels Share,CA,English Barleywine,10.5%,3.676
Sierra Nevada Ruthless Rye,CA,IPA,6.6%,3.675
Boulevard Dark Truth Stout,MO,Imperial Stout,9.7%,3.675
Fish Tale Detonator Doppelbock,WA,Doppelbock,8%,3.675
Middle Ages Wailing Wench,NY,Imperial IPA,9%,3.675
Anchor Our Special Ale 2010,CA,Spiced Beer,5.5%,3.675
Lagunitas Lucky 13.alt,CA,Strong Ale,8.9%,3.675
AleSmith Barrel Aged Decadence (2005),CA,Old Ale,11%,3.675
Anchor Big Leaf Maple Autumn Red,CA,Amber Ale,6%,3.675
Lagunitas Cappuccino Stout,CA,Coffee Stout,9.26%,3.674
Left Hand Chainsaw Ale (Double Sawtooth),CO,Strong Ale,9%,3.674
Avery Seventeen,CO,Schwarzbier,8.69%,3.674
Anchor Liberty Ale,CA,American Pale Ale,5.9%,3.673
Avery Collaboration not Litigation Ale,CO,Belgian Strong Ale,8.99%,3.673
Snake River Zonker Stout,WY,Stout,5.8%,3.673
Hoppin' Frog Hoppin to Heaven IPA,OH,IPA,6.8%,3.673
Flying Dog Wild Dog Dog Schwarz,MD,Schwarzbier,7.8%,3.673
Left Hand Oak Aged Imperial Stout,CO,Imperial Stout,10.4%,3.673
Clown Shoes Eagle Claw Fist Imperial Amber Ale,MA,Strong Ale,8%,3.673
Southern Tier IPA,NY,IPA,6.5%,3.671
Smuttynose Really Old Brown Dog Old Ale,NH,Old Ale,7%,3.671
He'Brew Vertical Jewbelation,CA,Strong Ale,10.5%,3.671
Kern River Citra DIPA,CA,Imperial IPA,8%,3.671
Oggi's Ding Ding Double IPA,CA,Imperial IPA,10.5%,3.671
Stillwater Artisanal Existent,MD,Belgian Ale,7.4%,3.671
Cascade Apricot Ale,OR,Fruit Lambic,9%,3.671
The Brew Kettle Tunguska Imperial Stout,OH,Imperial Stout,10.8%,3.671
Russian River Beatification,CA,Wild Ale,5.5%,3.671
Ithaca IPAbbey,NY,Abbey Tripel,9%,3.671
Cisco Baileys Ale,MA,Blonde Ale,7.5%,3.670
Ommegang Aphrodite,NY,Fruit Beer,8.9%,3.670
Stoudts Abbey Triple,PA,Abbey Tripel,9%,3.669
Three Floyds Black Sun Stout,IN,Dry Stout,6.5%,3.669
Stone Belgo Anise Imperial Russian Stout,CA,Imperial Stout,10.5%,3.669
Troutbrook Thomas Hooker Octoberfest Lager,CT,Marzen / Oktoberfest,6.1%,3.669
New Glarus Unplugged Eisbock,WI,Eisbock,9.5%,3.669
Schlafly Winter ESB,MO,Extra Special Bitter,6.2%,3.668
Rogue Dead Guy Ale,OR,Bock,6.6%,3.667
Great Lakes Nosferatu,OH,Strong Ale,8%,3.667
New Belgium Mighty Arrow,CO,American Pale Ale,6.1%,3.667
Anderson Valley Brother David's Double Abbey Style Ale,CA,Abbey Dubbel,9%,3.667
Rogue Brewer,OR,Strong Ale,7.5%,3.667
Clown Shoes Hoppy Feet 1.5 Double Black India Pale Ale,MA,American Black Ale,10%,3.667
Ale Asylum Madtown Nutbrown,WI,Brown Ale,5.5%,3.667
Samuel Adams Long Shot Blackened Hops,MA,American Black Ale,7%,3.667
Ommegang Art of Darkness,NY,Belgian Strong Ale,8.9%,3.667
The Bruery 5 Golden Rings,CA,Belgian Strong Ale,11.5%,3.667
Goose Island King Henry,IL,English Barleywine,13.4%,3.667
Lost Abbey 2008 Sinners,CA,Belgian Strong Ale,-,3.667
New England Imperial Stout Trooper,CT,Imperial Stout,8.5%,3.667
Ramstein Eisbock,NJ,Eisbock,11.5%,3.667
Troegs Troegenator Doublebock,PA,Doppelbock,8.2%,3.666
Bells Sparkling Ale,MI,Abbey Tripel,8.2%,3.666
Speakeasy Prohibition Ale,CA,Amber Ale,6.1%,3.665
Thirsty Dog Hoppus Maximus,OH,Amber Ale,5%,3.665
Lagunitas Freak Out,CA,IPA,7.3%,3.665
Brooklyn Brown Ale,NY,Brown Ale,5.5%,3.664
Southern Star Pine Belt Pale,TX,American Pale Ale,6.3%,3.664
Captain Lawrence Xtra Gold Tripel,NY,Abbey Tripel,9%,3.662
Brooklyn Sorachi Ace,NY,Saison,7.6%,3.662
He'Brew Jewbelation Twelve,CA,Strong Ale,12%,3.662
Wynkoop Sagebrush Stout,CO,Stout,-,3.662
Lagunitas Decimator,CA,Strong Ale,7.8%,3.662
Anchorage Love Buzz Saison,AK,Saison,8%,3.662
He'Brew Jewbelation Fourteen,CA,Strong Ale,14%,3.662
BrewDog / Cambridge / Stone Juxtaposition Black Pilsner,CA,Imperial Pilsener,10%,3.662
Deschutes Black Butte Porter,OR,Porter,5.2%,3.661
Dogfish Head 75 Minute IPA,DE,Imperial IPA,7.5%,3.660
Fort Collins Double Chocolate Stout,CO,Imperial Stout,8.1%,3.660
5 Seasons North Plan B IPA,GA,IPA,7.3%,3.660
Westbrook Second Anniversary Capn Skoons Ballistic Stout,SC,Baltic Porter,10%,3.660
Deschutes Hop In The Dark Cascadian Dark Ale,OR,American Black Ale,6.5%,3.659
Anderson Valley 20th Anniversary Imperial IPA,CA,Imperial IPA,8.7%,3.658
Red Brick Winter Brew 2004,GA,Imperial Porter,7.5%,3.658
