Beer,Origin,Style,ABV,Ratings
Goose Island Lolita,IL,Wild Ale,7%,3.845
Midnight Sun Arctic Devil Barley Wine,AK,English Barleywine,11.5%,3.845
Dogfish Head Burton Baton,DE,Imperial IPA,10%,3.844
Founders Reds Rye,MI,Rye Beer,6.6%,3.844
Bells Batch 6000,MI,American Barleywine,10.5%,3.844
North Coast Old Stock Ale,CA,English Barleywine,13.25%,3.842
Goose Island Sofie,IL,Saison,6.5%,3.842
Ramstein Winter Wheat,NJ,Weizenbock,9.5%,3.842
Full Sail Old Boardhead Barleywine,OR,American Barleywine,9%,3.841
Founders Double Trouble Imperial IPA,MI,Imperial IPA,9.4%,3.841
Fat Heads Head Hunter IPA,OH,IPA,7.5%,3.840
Pelican Mother of all Storms,OR,English Barleywine,13.5%,3.840
Lost Abbey Deliverance,CA,Strong Ale,12.5%,3.840
The Brew Kettle White Rajah,OH,IPA,7%,3.840
Russian River Toronado 20th Anniversary,CA,Belgian Strong Ale,10.4%,3.840
Victory DirtWolf,PA,Imperial IPA,8.7%,3.840
Dogfish Head Raison D'Extra,DE,American Barleywine,18%,3.839
Odell Friek,CO,Flanders Red,5.5%,3.838
He'Brew Genesis 15:15,CA,American Barleywine,13.4%,3.838
Hoppin' Frog Barrel Aged BORIS The Crusher,OH,Imperial Stout,9.4%,3.837
Pisgah Valdez Coffee Stout,NC,Coffee Stout,6.8%,3.837
Stone 12th Anniversary Bitter Chocolate Oatmeal Stout,CA,Imperial Stout,9.2%,3.836
Hoppin' Frog Mean Manalishi,OH,Imperial IPA,8.2%,3.836
Rogue Double Chocolate Stout,OR,Imperial Stout,8%,3.836
Schlafly Imperial Stout,MO,Imperial Stout,8.9%,3.836
Dark Horse Plead the 5th,MI,Imperial Stout,12%,3.835
Great Divide Titan IPA,CO,IPA,6.8%,3.834
Bear Republic Red Rocket Ale,CA,Strong Ale,6.8%,3.834
Russian River Salvation,CA,Belgian Strong Ale,9%,3.833
New Glarus Dancing Man Wheat,WI,Hefeweizen,7.2%,3.833
Green Flash Palate Wrecker Double IPA,CA,Imperial IPA,9.2%,3.833
Port Brewing Santas Little Helper,CA,Imperial Stout,10.5%,3.831
Stone 02.02.02 Vertical Epic Ale,CA,Belgian Strong Ale,7.5%,3.831
Free State Old Backus Barleywine,KS,American Barleywine,10.5%,3.831
Southern Tier Un*Earthly Imperial IPA,NY,Imperial IPA,11%,3.830
Arcadia London Porter,MI,Smoked Ale,7.2%,3.830
Goose Island Imperial IPA,IL,Imperial IPA,9%,3.830
Iron Hill Kriek de Hill,DE,Fruit Lambic,5.2%,3.830
OFallon Smoked Porter,MO,Smoked Ale,6%,3.829
Cigar City Humidor Series Cedar Aged Jai Alai IPA,FL,IPA,7.5%,3.829
COOP Ale Works Territorial Reserve Oak Aged Imperial Stout,OK,Imperial Stout,9%,3.829
FiftyFifty Imperial Eclipse Stout,CA,Imperial Stout,9.5%,3.829
AleSmith Horny Devil,CA,Belgian Strong Ale,11%,3.827
Full Sail Imperial Porter Bourbon Barrel Aged,OR,Imperial Porter,7.2%,3.827
Dogfish Head Raison D'Etre,DE,Belgian Strong Ale,8%,3.826
Lagunitas Olde Gnarly Wine,CA,American Barleywine,11%,3.825
Portsmouth Kate the Great Russian Imperial Stout,NH,Imperial Stout,9.5%,3.825
Smuttynose Robust Porter,NH,Porter,5.7%,3.824
Pelican India Pelican Ale,OR,IPA,7.5%,3.824
Oskar Blues Deviant Dales,CO,Imperial IPA,8%,3.824
Anchor Old Foghorn Ale,CA,American Barleywine,10%,3.823
Founders Porter,MI,Porter,6.5%,3.822
Stone 5th Anniversary IPA,CA,Imperial IPA,8.5%,3.822
Stone 7th Anniversary Ale,CA,American Pale Ale,7.7%,3.821
Left Hand 10th Anniversary Oak Aged Imperial Stout,CO,Imperial Stout,10%,3.821
Southampton Saison,NY,Saison,6.5%,3.820
Boulevard Two Jokers Double Wit,MO,Witbier,8%,3.820
Brooklyn Local 1,NY,Belgian Strong Ale,9%,3.819
Southern Tier Oat (Imperial Oatmeal Stout),NY,Imperial Stout,12.5%,3.819
Goose Island Night Stalker,IL,Imperial Stout,11.7%,3.818
Widmer Brothers Nelson Imperial IPA,OR,Imperial IPA,8.6%,3.817
The Bruery Oude Tart,CA,Flanders Red,7.5%,3.817
Dogfish Head Miles Davis' Bitches Brew,DE,Imperial Stout,9%,3.814
Widmer Brothers Raspberry Russian Imperial Stout '12,OR,Imperial Stout,9.3%,3.814
Stone RuinTen IPA,CA,Imperial IPA,10.8%,3.813
Sierra Nevada Estate Homegrown Ale,CA,IPA,6.7%,3.813
Ken Schmidt /  Maui / Stone Kona Coffee Macadamia Coconut Porter,CA,Imperial Porter,8.5%,3.813
Boulevard Double Wide IPA,MO,Imperial IPA,8.5%,3.811
Russian River Sanctification,CA,Belgian Ale,6.25%,3.811
Deschutes Fresh Squeezed IPA,OR,IPA,6%,3.811
Stone Espresso Imperial Russian Stout,CA,Imperial Stout,11%,3.810
Weyerbacher Heresy,PA,Imperial Stout,8.2%,3.809
Anchor Our Special Ale 2006,CA,Spiced Beer,5.5%,3.809
Hair of the Dog Cherry Adam from the Wood,OR,Strong Ale,10%,3.809
Alpine Beer Company Duet,CA,IPA,7%,3.809
Weyerbacher Insanity,PA,English Barleywine,11%,3.808
Central Waters Kosmyk Charlie's Y2K Catastrophe Ale,WI,American Barleywine,10%,3.808
Deschutes Black Butte XXIII,OR,Imperial Porter,11%,3.808
Troegs Nugget Nectar Ale,PA,IPA,7.5%,3.805
Tyranena Hop Whore Imperial India Pale Ale,WI,Imperial IPA,-,3.805
Ommegang Rare Vos,NY,Belgian Ale,6.5%,3.804
Allagash Tripel Reserve,ME,Abbey Tripel,9%,3.804
New Glarus Apple Ale,WI,Fruit Beer,3.8%,3.804
Smuttynose Finestkind IPA,NH,IPA,6.9%,3.802
Great Divide Hibernation Ale,CO,Strong Ale,8.1%,3.800
New Glarus Unplugged Enigma,WI,Wild Ale,7%,3.800
New Glarus Road Slush Stout,WI,Oatmeal Stout,5.2%,3.800
Yazoo Sue,TN,Smoked Ale,9%,3.800
Deschutes Bond Street Hop Henge Experimental IPA,OR,Imperial IPA,8.75%,3.800
Highland Thunderstruck Coffee Porter,NC,Porter,5.8%,3.800
Stone Smoked Porter (Vanilla Beans),CA,Porter,5.9%,3.800
Captain Lawrence Cuvee de Castleton,NY,Wild Ale,6%,3.800
Half Acre Daisy Cutter Pale Ale,IL,American Pale Ale,-,3.800
Uinta Crooked Line Labyrinth Black Ale,UT,Imperial Porter,13.2%,3.800
